title,avg_rating,count_rating,w_score,release_date
The Million Dollar Hotel,4.429014514393623,91082,4.381090856769781,2000-02-09
Sleepless in Seattle,4.339810758717364,57070,4.27011965318701,1993-06-24
Once Were Warriors,4.266530696698294,67662,4.210811664708815,1994-09-02
License to Wed,4.2307160469145675,60024,4.170266801616043,2007-07-04
Terminator 3 Rise of the Machines,4.169975313136369,87901,4.130286106558441,2003-07-02
The Thomas Crown Affair,4.189107481274253,44324,4.111851081640883,1968-06-19
Solaris,4.149013259327783,84318,4.108538632070946,1972-03-20
Confession of a Child of the Century,4.182070707070707,39600,4.096915859165064,2012-08-29
Murder She Said,4.213030410183875,28280,4.09413330013053,1961-01-01
The 39 Steps,4.132299305600623,77045,4.088894702325928,1935-06-01
The Talented Mr Ripley,4.17828875746609,33987,4.080733939822187,1999-12-25
Shriek If You Know What I Did Last Friday the Thirteenth,4.1570775807006335,40706,4.076029137047847,2000-10-17
Cousin Cousine,4.202589307120594,20855,4.048933526567528,1975-11-19
5 Card Stud,4.104167033276435,56827,4.047843739666706,1968-07-28
Men in Black II,4.105347410145977,52474,4.044569782119137,2002-07-03
Local Color,4.167062784709843,25245,4.041197706643542,2006-09-19
The Man with the Golden Arm,4.12244293712317,37152,4.037284852350979,1955-12-14
Under the Sand,4.128245715945396,34430,4.036440774703152,2000-09-11
Hard Target,4.255073602972702,13994,4.030648374963541,1993-08-20
The Good Thief,4.187872863087181,19947,4.030458544575588,2003-04-03
Point Break,4.089379750078279,35131,4.002756587780064,1991-07-12
Say Anything,4.053710956720266,50809,3.994392050717227,1989-04-14
Lonely Hearts,4.157715931945426,18397,3.9939688203120687,2006-04-30
A River Runs Through It,4.080149006140683,34361,3.9926158017394737,1992-10-09
Scarface,4.0841199949315765,31568,3.9892182560988725,1983-12-08
Three Colors Red,4.016057252826558,66512,3.97192336423107,1994-05-27
Dawn of the Dead,4.021266549939997,50831,3.964058268998458,2004-03-19
Young and Innocent,4.021281953145459,49643,3.9627936317521457,1937-11-01
Cool Hand Luke,4.12129043498461,17219,3.954374717647418,1967-06-22
